month,revenue,cost,headcount
2025-01,100000,42000,18
2025-02,104000,43500,18
2025-03,108500,44800,19
2025-04,111000,46000,19
2025-05,116000,47500,20
2025-06,120000,49200,20
2025-07,124500,50800,21
2025-08,128000,52100,21
2025-09,132500,53800,22
2025-10,137000,55600,22
2025-11,141500,57100,23
2025-12,146000,58900,23
2026-01,150000,60500,24
2026-02,154000,62100,24
2026-03,158500,63800,25
2026-04,163000,65500,25
2026-05,168000,67400,26
2026-06,172500,69100,26
2026-07,177000,70900,27
2026-08,182000,72800,27
2026-09,187500,74800,28
2026-10,193000,76900,28
2026-11,198500,79100,29
2026-12,204000,81200,29
